word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
Afghanistan アフガニスタン·イスラム共和国,/æfˈɡæn.ɪ.stɑːn/,Kabul,カブール,"Area: 652,230km² (42nd), Population: 43.8 million (36th)","Language: Dari, Pashto, Turkmen",Currency: Afghan afghani (AFN)
Armenia アルメニア共和国,/ɑːˈmiː.ni.ə/,Yerevan,エレバン,"Area: 29,743km² (144th), Population: 3.1 million (138th)",Language: Armenian,Currency: Armenian dram (AMD)
Azerbaijan アゼルバイジャン共和国,/ˌæz.ə.baɪˈdʒɑːn/,Baku,バクー,"Area: 86,600km² (114th), Population: 10.2 million (93rd)",Language: Azerbaijani,Currency: Azerbaijani manat (AZN)
Bahrain バーレーン王国,/bɑːˈreɪn/,Manama,マナマ,"Area: 765km² (193rd), Population: 1.6 million (153rd)",Language: Arabic,Currency: Bahraini dinar (BHD)
Bangladesh バングラデシュ人民共和国,/ˌbæŋ.ɡləˈdeʃ/,Dhaka,ダッカ,"Area: 147,570km² (95th), Population: 169.8 million (8th)",Language: Bengali,Currency: Bangladeshi taka (BDT)
Bhutan ブータン王国,/buːˈtɑːn/,Thimphu,ティンプー,"Area: 38,394km² (138th), Population: 784.0 thousand (165th)",Language: Dzongkha,"Currency: Bhutanese ngultrum (BTN), Indian rupee (INR)"
Brunei ブルネイ・ダルサラーム国,/bruːˈnaɪ/,Bandar Seri Begawan,バンダルスリブガワン,"Area: 5,765km² (175th), Population: 455.5 thousand (176th)",Language: Malay,"Currency: Brunei dollar (BND), Singapore dollar (SGD)"
Cambodia カンボジア王国,/kæmˈbəʊ.di.ə/,Phnom Penh,プノンペン,"Area: 181,035km² (91st), Population: 17.6 million (73rd)",Language: Khmer,"Currency: Cambodian riel (KHR), United States dollar (USD)"
China 中華人民共和国,/ˈtʃaɪ.nə/,Beijing,ペキン,"Area: 9,706,961km² (4th), Population: 1.4 billion (2nd)",Language: Chinese,Currency: Chinese yuan (CNY)
Cyprus キプロス共和国,/ˈsaɪ.prəs/,Nicosia,ニコシア,"Area: 9,251km² (171st), Population: 1.4 million (155th)","Language: Greek, Turkish",Currency: euro (EUR)
Georgia ジョージア,/ˈdʒɔː.dʒə/,Tbilisi,トビリシ,"Area: 69,700km² (123rd), Population: 4.0 million (130th)",Language: Georgian,Currency: lari (GEL)
India インド共和国,/ˈɪn.di.ə/,New Delhi,ニューデリー,"Area: 3,287,263km² (8th), Population: 1.4 billion (1st)","Language: English, Hindi, Tamil",Currency: Indian rupee (INR)
Indonesia インドネシア共和国,/ˌɪn.dəˈniː.ʒə/,Jakarta,ジャカルタ,"Area: 1,904,569km² (16th), Population: 284.4 million (4th)",Language: Indonesian,Currency: Indonesian rupiah (IDR)
Iran イラン·イスラム共和国,/ɪˈrɑːn/,Tehran,テヘラン,"Area: 1,648,195km² (19th), Population: 86.0 million (17th)",Language: Persian (Farsi),Currency: Iranian rial (IRR)
Iraq イラク共和国,/ɪˈrɑːk/,Baghdad,バグダッド,"Area: 438,317km² (60th), Population: 46.1 million (34th)","Language: Arabic, Aramaic, Sorani",Currency: Iraqi dinar (IQD)
Israel イスラエル国,/ˈɪz.reɪ.əl/,Jerusalem,エルサレム,"Area: 21,937km² (154th), Population: 10.1 million (94th)","Language: Arabic, Hebrew",Currency: Israeli new shekel (ILS)
Japan 日本,/dʒəˈpæn/,Tokyo,東京,"Area: 377,930km² (64th), Population: 123.2 million (11th)",Language: Japanese,Currency: Japanese yen (JPY)
Jordan ヨルダン·ハシミテ王国,/ˈdʒɔː.dən/,Amman,アンマン,"Area: 89,342km² (113th), Population: 11.7 million (84th)",Language: Arabic,Currency: Jordanian dinar (JOD)
Kazakhstan カザフスタン共和国,/ˌkæz.ækˈstɑːn/,Astana,アスタナ,"Area: 2,724,900km² (10th), Population: 20.4 million (63rd)","Language: Kazakh, Russian",Currency: Kazakhstani tenge (KZT)
Kuwait クウェート国,/kʊˈweɪt/,Kuwait City,クウェートシティー,"Area: 17,818km² (159th), Population: 4.9 million (128th)",Language: Arabic,Currency: Kuwaiti dinar (KWD)
Kyrgyzstan キルギス共和国,/ˌkɜː.ɡɪˈstɑːn/,Bishkek,ビシュケク,"Area: 199,951km² (88th), Population: 7.3 million (106th)","Language: Kyrgyz, Russian",Currency: Kyrgyzstani som (KGS)
Laos ラオス人民民主共和国,/laʊs/,Vientiane,ビエンチャン,"Area: 236,800km² (85th), Population: 7.6 million (103rd)",Language: Lao,Currency: Lao kip (LAK)
Lebanon レバノン共和国,/ˈleb.ə.nən/,Beirut,ベイルート,"Area: 10,452km² (170th), Population: 5.5 million (119th)","Language: Arabic, French",Currency: Lebanese pound (LBP)
Malaysia マレーシア,/məˈleɪ.zi.ə/,Kuala Lumpur,クアラルンプール,"Area: 330,803km² (70th), Population: 34.2 million (44th)","Language: English, Malay",Currency: Malaysian ringgit (MYR)
Maldives モルディブ共和国,/ˈmɔːl.diːvz/,Male,マレ,"Area: 300km² (216th), Population: 515.1 thousand (174th)",Language: Maldivian,Currency: Maldivian rufiyaa (MVR)
Mongolia モンゴル,/mɒŋˈɡəʊ.li.ə/,Ulaanbaatar,ウランバートル,"Area: 1,564,110km² (20th), Population: 3.5 million (133rd)",Language: Mongolian,Currency: Mongolian tögrög (MNT)
Myanmar ミャンマー連邦共和国,/ˌmjænˈmɑːr/,Naypyidaw,ネピドー,"Area: 676,578km² (41st), Population: 51.3 million (29th)",Language: Burmese,Currency: Burmese kyat (MMK)
Nepal ネパール連邦民主共和国,/nəˈpɔːl/,Kathmandu,カトマンズ,"Area: 147,181km² (96th), Population: 29.9 million (51st)",Language: Nepali,Currency: Nepalese rupee (NPR)
North Korea 朝鮮民主主義人民共和国,/ˌnɔːθ kəˈriː.ə/,Pyongyang,ピョンヤン,"Area: 120,538km² (100th), Population: 25.9 million (56th)",Language: Korean,Currency: North Korean won (KPW)
Oman オマーン·スルタン国,/əʊˈmɑːn/,Muscat,マスカット,"Area: 309,500km² (73rd), Population: 5.3 million (123rd)",Language: Arabic,Currency: Omani rial (OMR)
Pakistan パキスタン,/ˈpɑː.kɪ.stɑːn/,Islamabad,イスラマバード,"Area: 796,095km² (37th), Population: 241.5 million (5th)","Language: English, Urdu",Currency: Pakistani rupee (PKR)
Palestine パレスチナ自治政府,/ˈpæl.ɪ.staɪn/,Jerusalem (East),東エルサレム,"Area: 6,220km² (174th), Population: 5.5 million (120th)",Language: Arabic,"Currency: Egyptian pound (EGP), Israeli new shekel (ILS), Jordanian dinar (JOD)"
Philippines フィリピン共和国,/ˈfɪl.ɪ.piːnz/,Manila,マニラ,"Area: 342,353km² (66th), Population: 114.1 million (12th)","Language: English, Filipino",Currency: Philippine peso (PHP)
Qatar カタール国,/ˈkæt.ɑːr/,Doha,ドーハ,"Area: 11,586km² (166th), Population: 3.2 million (137th)",Language: Arabic,Currency: Qatari riyal (QAR)
Saudi Arabia サウジアラビア王国,/ˌsaʊ.di əˈreɪ.bi.ə/,Riyadh,リヤド,"Area: 2,149,690km² (14th), Population: 35.3 million (42nd)",Language: Arabic,Currency: Saudi riyal (SAR)
Singapore シンガポール共和国,/ˈsɪŋ.ə.pɔːr/,Singapore,シンガポール,"Area: 710km² (196th), Population: 6.1 million (113th)","Language: English, Chinese, Malay, Tamil",Currency: Singapore dollar (SGD)
South Korea 大韓民国,/ˌsaʊθ kəˈriː.ə/,Seoul,ソウル,"Area: 100,210km² (110th), Population: 51.2 million (30th)",Language: Korean,Currency: South Korean won (KRW)
Sri Lanka スリランカ民主社会主義共和国,/ˌsriː ˈlæŋ.kə/,Sri Jayawardenepura Kotte,スリジャヤワルダナプラコッテ,"Area: 65,610km² (124th), Population: 21.8 million (61st)","Language: Sinhala, Tamil",Currency: Sri Lankan rupee (LKR)
Syria シリアアラブ共和国,/ˈsɪr.i.ə/,Damascus,ダマスカス,"Area: 185,180km² (90th), Population: 25.6 million (57th)",Language: Arabic,Currency: Syrian pound (SYP)
Tajikistan タジキスタン共和国,/tɑːˌdʒɪk.ɪˈstɑːn/,Dushanbe,ドゥシャンベ,"Area: 143,100km² (97th), Population: 10.5 million (91st)","Language: Russian, Tajik",Currency: Tajikistani somoni (TJS)
Thailand タイ王国,/ˈtaɪ.lænd/,Bangkok,バンコク,"Area: 513,120km² (52nd), Population: 65.9 million (23rd)",Language: Thai,Currency: Thai baht (THB)
Timor-Leste 東ティモール民主共和国,/ˌtiː.mɔː ˈles.teɪ/,Dili,ディリ,"Area: 14,874km² (161st), Population: 1.4 million (156th)","Language: Portuguese, Tetum",Currency: United States dollar (USD)
Turkey トルコ共和国,/ˈtɜː.ki/,Ankara,アンカラ,"Area: 783,562km² (38th), Population: 85.7 million (18th)",Language: Turkish,Currency: Turkish lira (TRY)
Turkmenistan トルクメニスタン,/tɜːkˌmen.ɪˈstɑːn/,Ashgabat,アシガバート,"Area: 488,100km² (54th), Population: 7.1 million (107th)","Language: Russian, Turkmen",Currency: Turkmenistan manat (TMT)
United Arab Emirates アラブ首長国連邦,/juːˌnaɪ.tɪd ˌær.əb ˈem.ɪ.rəts/,Abu Dhabi,アブダビ,"Area: 83,600km² (116th), Population: 11.3 million (86th)",Language: Arabic,Currency: United Arab Emirates dirham (AED)
Uzbekistan ウズベキスタン共和国,/ʊzˌbek.ɪˈstɑːn/,Tashkent,タシュケント,"Area: 447,400km² (58th), Population: 37.9 million (38th)","Language: Russian, Uzbek",Currency: Uzbekistani soʻm (UZS)
Vietnam ベトナム社会主義共和国,/ˌvjetˈnæm/,Hanoi,ハノイ,"Area: 331,212km² (69th), Population: 101.3 million (16th)",Language: Vietnamese,Currency: Vietnamese đồng (VND)
Yemen イエメン共和国,/ˈjem.ən/,Sana'a,サナア,"Area: 527,968km² (51st), Population: 32.7 million (48th)",Language: Arabic,Currency: Yemeni rial (YER)
