word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
Albania アルバニア共和国,/ælˈbeɪ.ni.ə/,Tirana,ティラナ,"Area: 28,748km² (146th), Population: 2.4 million (145th)",Language: Albanian,Currency: Albanian lek (ALL)
Andorra アンドラ公国,/ænˈdɔː.rə/,Andorra la Vella,アンドラ・ラ・ベリャ,"Area: 468km² (201st), Population: 88.4 thousand (202nd)",Language: Catalan,Currency: euro (EUR)
Armenia アルメニア共和国,/ɑːˈmiː.ni.ə/,Yerevan,エレバン,"Area: 29,743km² (144th), Population: 3.1 million (138th)",Language: Armenian,Currency: Armenian dram (AMD)
Austria オーストリア共和国,/ˈɒs.tri.ə/,Vienna,ウィーン,"Area: 83,871km² (115th), Population: 9.2 million (98th)",Language: German,Currency: euro (EUR)
Azerbaijan アゼルバイジャン共和国,/ˌæz.ə.baɪˈdʒɑːn/,Baku,バクー,"Area: 86,600km² (114th), Population: 10.2 million (93rd)",Language: Azerbaijani,Currency: Azerbaijani manat (AZN)
Belarus ベラルーシ共和国,/ˌbel.əˈruːs/,Minsk,ミンスク,"Area: 207,600km² (87th), Population: 9.1 million (99th)","Language: Belarusian, Russian",Currency: Belarusian ruble (BYN)
Belgium ベルギー王国,/ˈbel.dʒəm/,Brussels,ブリュッセル,"Area: 30,528km² (142nd), Population: 11.8 million (82nd)","Language: German, French, Dutch",Currency: euro (EUR)
Bosnia and Herzegovina ボスニア·ヘルツェゴビナ,/ˌbɒz.ni.ə ən ˌhɜː.tsə.ɡɒˈviː.nə/,Sarajevo,サラエボ,"Area: 51,209km² (130th), Population: 3.4 million (135th)","Language: Bosnian, Croatian, Serbian",Currency: Bosnia and Herzegovina convertible mark (BAM)
Bulgaria ブルガリア共和国,/bʌlˈɡeə.ri.ə/,Sofia,ソフィア,"Area: 110,879km² (106th), Population: 6.4 million (111th)",Language: Bulgarian,Currency: Bulgarian lev (BGN)
Croatia クロアチア共和国,/krəʊˈeɪ.ʃə/,Zagreb,ザグレブ,"Area: 56,594km² (129th), Population: 3.9 million (131st)",Language: Croatian,Currency: euro (EUR)
Cyprus キプロス共和国,/ˈsaɪ.prəs/,Nicosia,ニコシア,"Area: 9,251km² (171st), Population: 1.4 million (155th)","Language: Greek, Turkish",Currency: euro (EUR)
Czechia チェコ共和国,/ˈtʃek.i.ə/,Prague,プラハ,"Area: 78,865km² (118th), Population: 10.9 million (87th)","Language: Czech, Slovak",Currency: Czech koruna (CZK)
Denmark デンマーク王国,/ˈden.mɑːk/,Copenhagen,コペンハーゲン,"Area: 43,094km² (135th), Population: 6.0 million (116th)",Language: Danish,Currency: Danish krone (DKK)
Estonia エストニア共和国,/esˈtəʊ.ni.ə/,Tallinn,タリン,"Area: 45,227km² (134th), Population: 1.4 million (157th)",Language: Estonian,Currency: euro (EUR)
Finland フィンランド共和国,/ˈfɪn.lənd/,Helsinki,ヘルシンキ,"Area: 338,455km² (68th), Population: 5.7 million (117th)","Language: Finnish, Swedish",Currency: euro (EUR)
France フランス共和国,/frɑːns/,Paris,パリ,"Area: 543,908km² (50th), Population: 66.4 million (22nd)",Language: French,Currency: euro (EUR)
Georgia グルジア,/ˈdʒɔː.dʒə/,Tbilisi,トビリシ,"Area: 69,700km² (123rd), Population: 4.0 million (130th)",Language: Georgian,Currency: lari (GEL)
Germany ドイツ連邦共和国,/ˈdʒɜː.mə.ni/,Berlin,ベルリン,"Area: 357,114km² (65th), Population: 83.5 million (19th)",Language: German,Currency: euro (EUR)
Greece ギリシャ共和国,/ɡriːs/,Athens,アテネ,"Area: 131,990km² (98th), Population: 10.4 million (92nd)",Language: Greek,Currency: euro (EUR)
Hungary ハンガリー,/ˈhʌŋ.ɡə.ri/,Budapest,ブダペスト,"Area: 93,028km² (111th), Population: 9.5 million (97th)",Language: Hungarian,Currency: Hungarian forint (HUF)
Iceland アイスランド,/ˈaɪs.lənd/,Reykjavik,レイキャビク,"Area: 103,000km² (109th), Population: 391.8 thousand (179th)",Language: Icelandic,Currency: Icelandic króna (ISK)
Ireland アイルランド共和国,/ˈaɪə.lənd/,Dublin,ダブリン,"Area: 70,273km² (122nd), Population: 5.5 million (121st)","Language: English, Irish",Currency: euro (EUR)
Italy イタリア共和国,/ˈɪt.əl.i/,Rome,ローマ,"Area: 301,336km² (74th), Population: 58.9 million (25th)","Language: Italian, Catalan",Currency: euro (EUR)
Kazakhstan カザフスタン共和国,/ˌkæz.ækˈstɑːn/,Astana,アスタナ,"Area: 2,724,900km² (10th), Population: 20.4 million (63rd)","Language: Kazakh, Russian",Currency: Kazakhstani tenge (KZT)
Kosovo コソボ,/ˈkɒs.ə.vəʊ/,Pristina,プリシュティナ,"Area: 10,908km² (168th), Population: 1.6 million (154th)","Language: Albanian, Serbian",Currency: euro (EUR)
Latvia ラトビア共和国,/ˈlæt.vi.ə/,Riga,リガ,"Area: 64,559km² (126th), Population: 1.8 million (149th)",Language: Latvian,Currency: euro (EUR)
Liechtenstein リヒテンシュタイン公国,/ˈlɪk.tən.staɪn/,Vaduz,ファドゥーツ,"Area: 160km² (225th), Population: 40.9 thousand (217th)",Language: German,Currency: Swiss franc (CHF)
Lithuania リトアニア共和国,/ˌlɪθ.juˈeɪ.ni.ə/,Vilnius,ビリニュス,"Area: 65,300km² (125th), Population: 2.9 million (140th)",Language: Lithuanian,Currency: euro (EUR)
Luxembourg ルクセンブルク大公国,/ˈlʌk.səm.bɜːɡ/,Luxembourg,ルクセンブルク,"Area: 2,586km² (181st), Population: 682.0 thousand (169th)","Language: German, French, Luxembourgish",Currency: euro (EUR)
Malta マルタ共和国,/ˈmɔːl.tə/,Valletta,バレッタ,"Area: 316km² (215th), Population: 574.2 thousand (173rd)","Language: English, Maltese",Currency: euro (EUR)
Moldova モルドバ共和国,/mɒlˈdəʊ.və/,Chisinau,キシナウ,"Area: 33,847km² (141st), Population: 2.7 million (142nd)",Language: Romanian,Currency: Moldovan leu (MDL)
Monaco モナコ公国,/ˈmɒn.ə.kəʊ/,Monaco,モナコ,"Area: 2km² (249th), Population: 38.4 thousand (219th)",Language: French,Currency: euro (EUR)
Montenegro モンテネグロ,/ˌmɒn.tɪˈneɪ.ɡrəʊ/,Podgorica,ポドゴリツァ,"Area: 13,812km² (163rd), Population: 623.3 thousand (170th)",Language: Montenegrin,Currency: euro (EUR)
Netherlands オランダ,/ˈneð.ə.ləndz/,Amsterdam,アムステルダム,"Area: 41,865km² (136th), Population: 18.1 million (71st)",Language: Dutch,Currency: euro (EUR)
North Macedonia 北マケドニア共和国,/ˌnɔːθ ˌmæs.ɪˈdəʊ.ni.ə/,Skopje,スコピエ,"Area: 25,713km² (151st), Population: 1.8 million (150th)",Language: Macedonian,Currency: denar (MKD)
Norway ノルウェー王国,/ˈnɔː.weɪ/,Oslo,オスロ,"Area: 386,224km² (63rd), Population: 5.6 million (118th)","Language: Norwegian Nynorsk, Norwegian Bokmål, Sami",Currency: Norwegian krone (NOK)
Poland ポーランド共和国,/ˈpəʊ.lənd/,Warsaw,ワルシャワ,"Area: 312,679km² (72nd), Population: 37.4 million (39th)",Language: Polish,Currency: Polish złoty (PLN)
Portugal ポルトガル共和国,/ˈpɔː.tʃʊ.ɡəl/,Lisbon,リスボン,"Area: 92,090km² (112th), Population: 10.7 million (89th)",Language: Portuguese,Currency: euro (EUR)
Romania ルーマニア,/ruˈmeɪ.ni.ə/,Bucharest,ブカレスト,"Area: 238,391km² (84th), Population: 19.0 million (68th)",Language: Romanian,Currency: Romanian leu (RON)
Russian Federation ロシア連邦,/ˈrʌʃ.ən ˌfed.əˈreɪ.ʃən/,Moscow,モスクワ,"Area: 17,098,246km² (1st), Population: 146.0 million (9th)",Language: Russian,Currency: Russian ruble (RUB)
San Marino サンマリノ共和国,/ˌsæn məˈriː.nəʊ/,San Marino,サンマリノ,"Area: 61km² (233rd), Population: 34.1 thousand (221st)",Language: Italian,Currency: euro (EUR)
Serbia セルビア共和国,/ˈsɜː.bi.ə/,Belgrade,ベオグラード,"Area: 77,589km² (119th), Population: 6.6 million (109th)",Language: Serbian,Currency: Serbian dinar (RSD)
Slovakia スロバキア共和国,/sləˈvæk.i.ə/,Bratislava,ブラチスラバ,"Area: 49,037km² (132nd), Population: 5.4 million (122nd)",Language: Slovak,Currency: euro (EUR)
Slovenia スロベニア共和国,/sləˈviː.ni.ə/,Ljubljana,リュブリャナ,"Area: 20,273km² (156th), Population: 2.1 million (147th)",Language: Slovene,Currency: euro (EUR)
Spain スペイン王国,/speɪn/,Madrid,マドリード,"Area: 505,992km² (53rd), Population: 49.3 million (31st)","Language: Spanish, Catalan, Basque, Galician",Currency: euro (EUR)
Sweden スウェーデン王国,/ˈswiː.dən/,Stockholm,ストックホルム,"Area: 450,295km² (57th), Population: 10.6 million (90th)",Language: Swedish,Currency: Swedish krona (SEK)
Switzerland スイス連邦,/ˈswɪt.sə.lənd/,Bern,ベルン,"Area: 41,284km² (137th), Population: 9.1 million (100th)","Language: French, Swiss German, Italian, Romansh",Currency: Swiss franc (CHF)
Turkey トルコ共和国,/ˈtɜː.ki/,Ankara,アンカラ,"Area: 783,562km² (38th), Population: 85.7 million (18th)",Language: Turkish,Currency: Turkish lira (TRY)
Ukraine ウクライナ,/juːˈkreɪn/,Kyiv,キエフ,"Area: 603,550km² (46th), Population: 32.9 million (47th)",Language: Ukrainian,Currency: Ukrainian hryvnia (UAH)
United Kingdom グレート·ブリテンおよび北アイルランド連合王国,/juːˌnaɪ.tɪd ˈkɪŋ.dəm/,London,ロンドン,"Area: 244,376km² (81st), Population: 69.3 million (20th)",Language: English,Currency: British pound (GBP)
Vatican City バチカン市国,/ˈvæt.ɪ.kən ˈsɪt.i/,Vatican City,バチカン,"Area: 0km² (250th), Population: 882 (242nd)","Language: Italian, Latin",Currency: euro (EUR)
