word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
Antigua and Barbuda アンティグア・バーブーダ,/ænˈtiː.ɡwə ənd bɑːˈbjuː.də/,Saint John's,セントジョンズ,"Area: 443km² (199th), Population: 94.3 thousand (194th)",Language: English,Currency: Eastern Caribbean dollar (XCD)
Bahamas バハマ国,/bəˈhɑː.məz/,Nassau,ナッソー,"Area: 13,943km² (162nd), Population: 407.9 thousand (177th)",Language: English,Currency: Bahamian dollar (BSD)
Barbados バルバドス,/bɑːrˈbeɪ.dɒs/,Bridgetown,ブリッジタウン,"Area: 430km² (201st), Population: 281.2 thousand (184th)",Language: English,Currency: Barbadian dollar (BBD)
Belize ベリーズ,/bəˈliːz/,Belmopan,ベルモパン,"Area: 22,966km² (152nd), Population: 441.4 thousand (175th)",Language: English,Currency: Belize dollar (BZD)
Canada カナダ,/ˈkæn.ə.də/,Ottawa,オタワ,"Area: 9,984,670km² (2nd), Population: 38.5 million (39th)","Language: English, French",Currency: Canadian dollar (CAD)
Costa Rica コスタリカ共和国,/ˌkɒs.tə ˈriː.kə/,San José,サンホセ,"Area: 51,100km² (131st), Population: 5.2 million (124th)",Language: Spanish,Currency: Costa Rican colón (CRC)
Cuba キューバ共和国,/ˈkjuː.bə/,Havana,ハバナ,"Area: 109,884km² (106th), Population: 11.2 million (87th)",Language: Spanish,Currency: Cuban peso (CUP)
Dominica ドミニカ国,/ˌdɒm.ɪˈniː.kə/,Roseau,ロゾー,"Area: 751km² (194th), Population: 72.4 thousand (199th)",Language: English,Currency: Eastern Caribbean dollar (XCD)
Dominican Republic ドミニカ共和国,/dəˌmɪn.ɪ.kən rɪˈpʌb.lɪk/,Santo Domingo,サントドミンゴ,"Area: 48,671km² (133rd), Population: 11.2 million (88th)",Language: Spanish,Currency: Dominican peso (DOP)
El Salvador エルサルバドル共和国,/ɛl ˈsæl.və.dɔːr/,San Salvador,サンサルバドル,"Area: 21,041km² (156th), Population: 6.5 million (110th)",Language: Spanish,Currency: United States dollar (USD)
Grenada グレナダ,/ɡrɪˈneɪ.də/,Saint George's,セントジョージズ,"Area: 344km² (207th), Population: 125.4 thousand (191st)",Language: English,Currency: Eastern Caribbean dollar (XCD)
Guatemala グアテマラ共和国,/ˌɡwɑː.təˈmɑː.lə/,Guatemala City,グアテマラシティ,"Area: 108,889km² (108th), Population: 18.1 million (68th)",Language: Spanish,Currency: Guatemalan quetzal (GTQ)
Haiti ハイチ共和国,/ˈheɪ.ti/,Port-au-Prince,ポルトープランス,"Area: 27,750km² (148th), Population: 11.8 million (83rd)","Language: French, Haitian Creole",Currency: Haitian gourde (HTG)
Honduras ホンジュラス共和国,/hɒnˈdjʊə.rəs/,Tegucigalpa,テグシガルパ,"Area: 112,492km² (105th), Population: 10.6 million (90th)",Language: Spanish,Currency: Honduran lempira (HNL)
Jamaica ジャマイカ,/dʒəˈmeɪ.kə/,Kingston,キングストン,"Area: 10,991km² (168th), Population: 2.8 million (141st)",Language: English,Currency: Jamaican dollar (JMD)
Mexico メキシコ合衆国,/ˈmek.sɪ.kəʊ/,Mexico City,メキシコシティ,"Area: 1,964,375km² (15th), Population: 128.5 million (10th)",Language: Spanish,Currency: Mexican peso (MXN)
Nicaragua ニカラグア共和国,/ˌnɪk.əˈræɡ.ju.ə/,Managua,マナグア,"Area: 130,373km² (99th), Population: 6.7 million (109th)",Language: Spanish,Currency: Nicaraguan córdoba (NIO)
Panama パナマ共和国,/ˈpæn.ə.mɑː/,Panama City,パナマシティ,"Area: 75,417km² (120th), Population: 4.4 million (129th)",Language: Spanish,"Currency: Panamanian balboa (PAB), United States dollar (USD)"
Saint Kitts and Nevis セントクリストファー・ネービス,/seɪnt ˌkɪts ənd ˈniː.vɪs/,Basseterre,バセテール,"Area: 261km² (212th), Population: 47.9 thousand (210th)",Language: English,Currency: Eastern Caribbean dollar (XCD)
Saint Lucia セントルシア,/seɪnt ˈluː.ʃə/,Castries,カストリーズ,"Area: 616km² (196th), Population: 180.5 thousand (188th)",Language: English,Currency: Eastern Caribbean dollar (XCD)
Saint Vincent and the Grenadines セントビンセント・グレナディーン諸島,/seɪnt ˈvɪnt.sənt ənd ðə ˌɡren.əˈdiːnz/,Kingstown,キングスタウン,"Area: 389km² (205th), Population: 103.7 thousand (193rd)",Language: English,Currency: Eastern Caribbean dollar (XCD)
Trinidad and Tobago トリニダード・トバゴ共和国,/ˌtrɪn.ɪˈdæd ənd təˈbeɪ.ɡəʊ/,Port of Spain,ポートオブスペイン,"Area: 5,130km² (176th), Population: 1.5 million (154th)",Language: English,Currency: Trinidad and Tobago dollar (TTD)
United States of America アメリカ合衆国,/juːˌnaɪ.tɪd ˈsteɪts əv əˈmer.ɪ.kə/,"Washington, D.C.",ワシントンD.C.,"Area: 9,833,517km² (3rd), Population: 339.9 million (3rd)",Language: English,Currency: United States dollar (USD)
