word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
Antigua and Barbuda,,Saint John's,,,,
Bahamas,,Nassau,,,,
Barbados,,Bridgetown,,,,
Belize,,Belmopan,,,,
Canada,,Ottawa,,,,
Costa Rica,,San Jose,,,,
Cuba,,Havana,,,,
Dominica,,Roseau,,,,
Dominican Republic,,Santo Domingo,,,,
El Salvador,,San Salvador,,,,
Grenada,,Saint George's,,,,
Guatemala,,Guatemala City,,,,
Haiti,,Port-au-Prince,,,,
Honduras,,Tegucigalpa,,,,
Jamaica,,Kingston,,,,
Mexico,,Mexico City,,,,
Nicaragua,,Managua,,,,
Panama,,Panama City,,,,
Saint Kitts and Nevis,,Basseterre,,,,
Saint Lucia,,Castries,,,,
Saint Vincent and the Grenadines,,Kingstown,,,,
Trinidad and Tobago,,Port of Spain,,,,
United States of America,,Washington, D.C.,,,,
