word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
Australia オーストラリア連邦,/ɒˈstreɪ.li.ə/,Canberra,キャンベラ,"Area: 7,692,024km² (6th), Population: 26.5 million (55th)",Language: English,Currency: Australian dollar (AUD)
Fiji フィジー共和国,/ˈfiː.dʒi/,Suva,スバ,"Area: 18,274km² (158th), Population: 929.8 thousand (161st)","Language: English, Fijian, Fiji Hindi",Currency: Fijian dollar (FJD)
Kiribati キリバス共和国,/ˌkɪr.ɪˈbæs/,South Tarawa,南タラワ,"Area: 811km² (192nd), Population: 123.4 thousand (192nd)","Language: English, Gilbertese","Currency: Australian dollar (AUD), Kiribati dollar (KID)"
Marshall Islands マーシャル諸島共和国,/ˈmɑːr.ʃəl ˈaɪ.ləndz/,Majuro,マジュロ,"Area: 181km² (220th), Population: 42.1 thousand (213th)","Language: English, Marshallese",Currency: United States dollar (USD)
Micronesia ミクロネシア連邦,/ˌmaɪ.krəˈniː.ʒə/,Palikir,パリキール,"Area: 702km² (197th), Population: 115.0 thousand (193rd)",Language: English,Currency: United States dollar (USD)
Nauru ナウル共和国,/nɑːˈuː.ruː/,Yaren,ヤレン,"Area: 21km² (228th), Population: 10.9 thousand (228th)","Language: English, Nauruan",Currency: Australian dollar (AUD)
New Zealand ニュージーランド,/njuː ˈziː.lənd/,Wellington,ウェリントン,"Area: 270,467km² (80th), Population: 5.1 million (125th)","Language: English, Māori, New Zealand Sign Language",Currency: New Zealand dollar (NZD)
Palau パラオ共和国,/pəˈlaʊ/,Ngerulmud,ンゲルルムッド,"Area: 459km² (198th), Population: 18.1 thousand (223rd)","Language: English, Palauan",Currency: United States dollar (USD)
Papua New Guinea パプアニューギニア独立国,/ˌpæp.ju.ə njuː ˈɡɪn.i/,Port Moresby,ポートモレスビー,"Area: 462,840km² (56th), Population: 10.3 million (92nd)","Language: English, Hiri Motu, Tok Pisin",Currency: Papua New Guinean kina (PGK)
Samoa サモア独立国,/səˈməʊ.ə/,Apia,アピア,"Area: 2,842km² (184th), Population: 225.7 thousand (186th)","Language: English, Samoan",Currency: Samoan tālā (WST)
Solomon Islands ソロモン諸島,/ˈsɒl.ə.mən ˈaɪ.ləndz/,Honiara,ホニアラ,"Area: 28,896km² (145th), Population: 720.4 thousand (166th)",Language: English,Currency: Solomon Islands dollar (SBD)
Tonga トンガ王国,/ˈtɒŋ.ɡə/,Nukuʻalofa,ヌクアロファ,"Area: 747km² (195th), Population: 100.2 thousand (195th)","Language: English, Tongan",Currency: Tongan paʻanga (TOP)
Tuvalu ツバル,/tuːˈvɑː.luː/,Funafuti,フナフティ,"Area: 26km² (227th), Population: 11.2 thousand (227th)","Language: English, Tuvaluan","Currency: Australian dollar (AUD), Tuvaluan dollar (TVD)"
Vanuatu バヌアツ共和国,/ˌvæn.uˈɑː.tuː/,Port Vila,ポートビラ,"Area: 12,189km² (165th), Population: 334.5 thousand (181st)","Language: Bislama, English, French",Currency: Vanuatu vatu (VUV)
