word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
Argentina アルゼンチン共和国,/ˌɑːr.dʒənˈtiː.nə/,Buenos Aires,ブエノスアイレス,"Area: 2,780,400km² (9th), Population: 45.8 million (33rd)",Language: Spanish,Currency: Argentine peso (ARS)
Bolivia ボリビア多民族国,/bəˈlɪv.i.ə/,Sucre,スクレ,"Area: 1,098,581km² (28th), Population: 12.4 million (79th)","Language: Aymara, Quechua, Spanish",Currency: Bolivian boliviano (BOB)
Brazil ブラジル連邦共和国,/brəˈzɪl/,Brasília,ブラジリア,"Area: 8,515,767km² (5th), Population: 215.3 million (7th)",Language: Portuguese,Currency: Brazilian real (BRL)
Chile チリ共和国,/ˈtʃɪl.i/,Santiago,サンティアゴ,"Area: 756,102km² (39th), Population: 19.6 million (65th)",Language: Spanish,Currency: Chilean peso (CLP)
Colombia コロンビア共和国,/kəˈlɒm.bi.ə/,Bogotá,ボゴタ,"Area: 1,141,748km² (27th), Population: 52.2 million (28th)",Language: Spanish,Currency: Colombian peso (COP)
Ecuador エクアドル共和国,/ˈek.wə.dɔːr/,Quito,キト,"Area: 283,561km² (78th), Population: 18.0 million (69th)",Language: Spanish,Currency: United States dollar (USD)
Guyana ガイアナ共和国,/ɡaɪˈæn.ə/,Georgetown,ジョージタウン,"Area: 214,969km² (86th), Population: 813.8 thousand (163rd)",Language: English,Currency: Guyanese dollar (GYD)
Paraguay パラグアイ共和国,/ˈpær.ə.ɡwaɪ/,Asunción,アスンシオン,"Area: 406,752km² (62nd), Population: 7.4 million (105th)","Language: Guaraní, Spanish",Currency: Paraguayan guaraní (PYG)
Peru ペルー共和国,/pəˈruː/,Lima,リマ,"Area: 1,285,216km² (22nd), Population: 33.4 million (46th)","Language: Aymara, Quechua, Spanish",Currency: Peruvian sol (PEN)
Suriname スリナム共和国,/ˌsʊər.ɪˈnæm/,Paramaribo,パラマリボ,"Area: 163,820km² (93rd), Population: 618.0 thousand (170th)",Language: Dutch,Currency: Surinamese dollar (SRD)
Uruguay ウルグアイ東方共和国,/ˈjʊər.ə.ɡwaɪ/,Montevideo,モンテビデオ,"Area: 176,215km² (92nd), Population: 3.4 million (134th)",Language: Spanish,Currency: Uruguayan peso (UYU)
Venezuela ベネズエラ・ボリバル共和国,/ˌven.ɪˈzweɪ.lə/,Caracas,カラカス,"Area: 916,445km² (33rd), Population: 28.3 million (53rd)",Language: Spanish,Currency: Venezuelan bolívar (VES)
