word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
Algeria アルジェリア民主人民共和国,/ælˈdʒɪə.ri.ə/,Algiers,アルジェ,"Area: 2,381,741km² (11th), Population: 47.4 million (32nd)","Language: Arabic",Currency: Algerian dinar (DZD)
Angola アンゴラ共和国,/æŋˈɡəʊ.lə/,Luanda,ルアンダ,"Area: 1,246,700km² (24th), Population: 36.2 million (41st)","Language: Portuguese",Currency: Angolan kwanza (AOA)
Benin ベナン共和国,/bəˈniːn/,Porto-Novo,ポルトノボ,"Area: 112,622km² (103rd), Population: 13.2 million (78th)","Language: French",Currency: West African CFA franc (XOF)
Botswana ボツワナ共和国,/bɒtˈswɑː.nə/,Gaborone,ハボローネ,"Area: 582,000km² (48th), Population: 2.4 million (146th)","Language: English, Tswana",Currency: Botswana pula (BWP)
Burkina Faso ブルキナファソ,/bɜːˌkiː.nə ˈfæs.əʊ/,Ouagadougou,ワガドゥグ,"Area: 272,967km² (76th), Population: 24.1 million (58th)","Language: French",Currency: West African CFA franc (XOF)
Burundi ブルンジ共和国,/bʊˈrʊn.di/,Gitega,ギテガ,"Area: 27,834km² (148th), Population: 12.3 million (79th)","Language: French, Kirundi",Currency: Burundian franc (BIF)
Cabo Verde カーボヴェルデ共和国,/ˌkɑː.bəʊ ˈvɜː.deɪ/,Praia,プライア,"Area: 4,033km² (178th), Population: 491.2 thousand (175th)","Language: Portuguese",Currency: Cape Verdean escudo (CVE)
Cameroon カメルーン共和国,/ˌkæm.əˈruːn/,Yaoundé,ヤウンデ,"Area: 475,442km² (55th), Population: 29.4 million (52nd)","Language: English, French",Currency: Central African CFA franc (XAF)
Central African Republic 中央アフリカ共和国,/ˌsen.trəl ˌæf.rɪ.kən rɪˈpʌb.lɪk/,Bangui,バンギ,"Area: 622,984km² (44th), Population: 6.5 million (110th)","Language: French, Sango",Currency: Central African CFA franc (XAF)
Chad チャド共和国,/tʃæd/,N'Djamena,ンジャメナ,"Area: 1,284,000km² (22nd), Population: 19.3 million (67th)","Language: Arabic, French",Currency: Central African CFA franc (XAF)
Comoros コモロ連合,/ˈkɒm.ə.rəʊz/,Moroni,モロニ,"Area: 1,862km² (184th), Population: 919.9 thousand (162nd)","Language: Arabic, French, Comorian",Currency: Comorian franc (KMF)
Democratic Republic of the Congo コンゴ民主共和国,/ˌdem.əˈkræt.ɪk rɪˈpʌb.lɪk əv ðə ˈkɒŋ.ɡəʊ/,Kinshasa,キンシャサ,"Area: 2,344,858km² (12th), Population: 112.8 million (13th)","Language: French, Kikongo, Lingala, Tshiluba, Swahili",Currency: Congolese franc (CDF)
Republic of the Congo コンゴ共和国,/rɪˈpʌb.lɪk əv ðə ˈkɒŋ.ɡəʊ/,Brazzaville,ブラザヴィル,"Area: 342,000km² (67th), Population: 6.1 million (112th)","Language: French, Kikongo, Lingala",Currency: Central African CFA franc (XAF)
Cote d'Ivoire コートジボワール共和国,/ˌkəʊt diːˈvwɑːr/,Yamoussoukro,ヤムスクロ,"Area: 322,463km² (71st), Population: 31.7 million (50th)","Language: French",Currency: West African CFA franc (XOF)
Djibouti ジブチ共和国,/dʒɪˈbuː.ti/,Djibouti,ジブチ,"Area: 23,200km² (152nd), Population: 1.1 million (161st)","Language: Arabic, French",Currency: Djiboutian franc (DJF)
